211.161.155.5 - - [24/Oct/2018:03:27:19 +0800] "POST /api/common/abtestplan/v2 HTTP/2.0" "-" "TYFLY/3.6.6 (iPhone; iOS 11.4.1; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%221eeb4e64ba672c4bcda46bf990595469%22%7D; _lc=1eeb4e64ba672c4bcda46bf990595469%24%241%24%241528085156%24%248d6a5bc8044a7db484f8202d58470e98d205c0e5" "-" 200 782 0.065
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/promo/coursediscount2017/getcouponforlist/v1 HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 233 0.091
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/notice/unreadcount HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 232 0.110
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/user/other/getlatestversion HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 205 0.113
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/common/startadvertise HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 510 0.119
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/common/abtestplan/v2 HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 782 0.131
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/common/homepromo HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 523 0.153
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/user/profile/getdetail HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 689 0.193
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/user/pushtoken/add HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 194 0.084
223.150.180.166 - - [24/Oct/2018:03:27:26 +0800] "POST /api/user/pushtoken/switchon/v2 HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 194 0.115
223.150.180.166 - - [24/Oct/2018:03:27:27 +0800] "POST /api/user/pushtoken/switchon/v2 HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 194 0.140
180.91.9.159 - - [24/Oct/2018:03:27:27 +0800] "POST /api/user/profile/getdetail HTTP/1.1" "http://www.tengyue360.com/course/detail?course_id=028be6578a6b2ab73819b9a6582705a3&id=3bf799008fb5216845ec3898fd45fc43" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36" "href_value=http%3A%2F%2Fwww.tengyue360.com%2F; Hm_lvt_c28e981450cb0b46e8ba590ea3876733=1539949891,1540032866,1540164581,1540299474; _lc=c4b8f0a27f8e5a9fe62182bf373a88f5%24%241%24%241540299581%24%2422f9879ab6d6790e5c510fb39a82e4eec8ab22ad%24%241; Hm_lpvt_c28e981450cb0b46e8ba590ea3876733=1540299617" "-" 200 615 0.081
183.188.34.170 - - [24/Oct/2018:03:27:28 +0800] "POST /api/user/profile/getdetail HTTP/1.1" "http://www.tengyue360.com/course/detail?course_id=c93b3e1f964eafb3c6bc18f55db03e70" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "href_value=http%3A%2F%2Fwww.tengyue360.com%2Fcourse%2Fdetail%3Fcourse_id%3Dc93b3e1f964eafb3c6bc18f55db03e70; _lc=c9c8d5ed170ba3f22316fb194624ca58%24%241%24%241540299809%24%24730d92748d364419edcdcbf5d3c4a451d1eb8a85%24%241; Hm_lvt_c28e981450cb0b46e8ba590ea3876733=1539766955,1539825146,1540299392,1540299833; Hm_lpvt_c28e981450cb0b46e8ba590ea3876733=1540299886" "-" 200 601 0.086
223.150.180.166 - - [24/Oct/2018:03:27:30 +0800] "POST /api/user/profile/signature/v2 HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 597 0.142
223.150.180.166 - - [24/Oct/2018:03:27:30 +0800] "POST /api/user/profile/getdetail HTTP/2.0" "-" "TYFLY/3.6.0 (iPhone; iOS 11.2; Scale/2.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%2298914ae5c85431135807d9aba11cb911%22%7D; _lc=98914ae5c85431135807d9aba11cb911%24%241%24%241509545550%24%24975f0b0554af684ed8e885f1352e6c0f9c30d71e" "-" 200 689 0.188
172.17.9.84 - - [24/Oct/2018:03:27:43 +0800] "GET /api/content/series/detail?document_id=5ce5efda06f860508611e63437486135 HTTP/1.1" "-" "-" "_lc=f1a859a4658adee367f6ca1aa2793b93$$1$$1537896782$$664a4cbd46d9441c4e17719cff4a5c6293ce921b" "-" 200 60 0.063
172.17.9.84 - - [24/Oct/2018:03:27:43 +0800] "GET /api/content/comment/list?document_id=5ce5efda06f860508611e63437486135&pn=1&rn=5&max_rn=NaN HTTP/1.1" "-" "-" "-" "-" 200 1692 0.063
172.17.9.84 - - [24/Oct/2018:03:27:43 +0800] "GET /api/content/article/detail?id=5ce5efda06f860508611e63437486135&retailer=1&app_version=94 HTTP/1.1" "-" "-" "_lc=f1a859a4658adee367f6ca1aa2793b93$$1$$1537896782$$664a4cbd46d9441c4e17719cff4a5c6293ce921b" "-" 200 8571 0.155
172.17.9.84 - - [24/Oct/2018:03:28:04 +0800] "GET /web/user/info HTTP/1.1" "-" "-" "-" "-" 200 133 0.022
172.17.9.84 - - [24/Oct/2018:03:28:04 +0800] "GET /web/course/common/list?pn=13&rn=16 HTTP/1.1" "-" "-" "-" "-" 200 2035 0.099
171.83.123.81 - - [24/Oct/2018:03:28:17 +0800] "POST /api/user/interact/dailyaudioview HTTP/2.0" "-" "TYFLY/3.6.6 (iPhone; iOS 12.0.1; Scale/3.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%226a4e832ab51b2b1c2a6bbc2b3895673a%22%7D; _lc=6a4e832ab51b2b1c2a6bbc2b3895673a%24%241%24%241522770014%24%2464da191244c375c8d2f550f959cc5a3b97574dcd" "-" 200 187 0.069
171.83.123.81 - - [24/Oct/2018:03:28:17 +0800] "POST /api/task/hearaudio/v2 HTTP/2.0" "-" "TYFLY/3.6.6 (iPhone; iOS 12.0.1; Scale/3.00)" "sensorsdata2015jssdkcross=%7B%22distinct_id%22%3A%226a4e832ab51b2b1c2a6bbc2b3895673a%22%7D; _lc=6a4e832ab51b2b1c2a6bbc2b3895673a%24%241%24%241522770014%24%2464da191244c375c8d2f550f959cc5a3b97574dcd" "-" 200 205 0.105
172.17.9.85 - - [24/Oct/2018:03:28:22 +0800] "GET /api/user/interact/documentview?id=d50000e3ccb4bea69f934b0eaa0be151 HTTP/1.1" "-" "-" "-" "-" 200 60 0.033
172.17.9.85 - - [24/Oct/2018:03:28:22 +0800] "GET /api/content/comment/list?document_id=d50000e3ccb4bea69f934b0eaa0be151&pn=1&rn=5&max_rn=NaN HTTP/1.1" "-" "-" "-" "-" 200 773 0.101
172.17.9.85 - - [24/Oct/2018:03:28:22 +0800] "GET /api/content/article/detail?id=d50000e3ccb4bea69f934b0eaa0be151&retailer=1&app_version=94 HTTP/1.1" "-" "-" "_lc=f1a859a4658adee367f6ca1aa2793b93$$1$$1537896782$$664a4cbd46d9441c4e17719cff4a5c6293ce921b" "-" 200 6499 0.170
222.220.53.50 - - [24/Oct/2018:03:28:33 +0800] "POST /web/user/sendsms?mobile=15142311365 HTTP/1.1" "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2)" "-" "-" 404 571 0.001
172.17.9.85 - - [24/Oct/2018:03:28:39 +0800] "GET /api/user/interact/documentview?id=7e9bbe66ff03c4db63243cf0f52bdf26 HTTP/1.1" "-" "-" "-" "-" 200 60 0.033
172.17.9.85 - - [24/Oct/2018:03:28:39 +0800] "GET /api/content/article/detail?id=7e9bbe66ff03c4db63243cf0f52bdf26&retailer=1 HTTP/1.1" "-" "-" "_lc=undefined" "-" 200 4836 0.144
222.220.53.50 - - [24/Oct/2018:03:28:39 +0800] "POST /web/user/sendsms?mobile=15142311365 HTTP/1.1" "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2)" "-" "-" 404 571 0.000
172.17.9.85 - - [24/Oct/2018:03:28:39 +0800] "GET /api/common/getjssdksign?account=teacher&noncestr=2tBJ&timestamp=1540322919&url=http%3A%2F%2Fm.tengyue360.com%2Fcontent%2Fdocument%2Fdetail%2Farticle%2Fshare%3Fid%3D7e9bbe66ff03c4db63243cf0f52bdf26%26from%3Dtimeline&_ts=1540322919&_tk=2b715f5a386353d427098d1f843126b7ad5a223d HTTP/1.1" "-" "-" "-" "-" 200 129 0.330
